# Stashed projects — index

Single source of truth for parked work. **This file is auto-generated** by `tools/stash-status.mjs` from the YAML metadata block in each brief. Edit the brief, not this file.

**Status legend:** 🟡 Open · ▶️ Ready (newly unblocked, re-run dependency check) · ⚪ Stale (>30 days since `verified` — re-verify file/line refs) · 🟢 Done

| Status | Title | id | Last verified | Coordinates / depends | Next action |
| 🟡 | [Inline Workbench carve-up and UX simplification](INLINE_WORKBENCH_CARVE_UP_AND_UX_SIMPLIFICATION.md) | `inline-workbench-carve-up-and-ux-simplification` | 2026-04-20 (0d) | coordinates_with: compactmatterwizard-split-by-wizardmode, demo-mode-hardening-production-presentable-end-to-end | See brief §3 (Plan) |
| 🟡 | [CCL backend chain — silent autopilot service](CCL_BACKEND_CHAIN_SILENT_AUTOPILOT_SERVICE.md) | `ccl-backend-chain-silent-autopilot-service` | 2026-04-19 (1d) | coordinates_with: ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity, ccl-prompt-feedback-loop-self-driving-template-improvement, ui-responsiveness-hover-scroll-and-tab-navigation | See brief §3 (Plan) |
| 🟡 | [CCL prompt feedback loop — self-driving template improvement](CCL_PROMPT_FEEDBACK_LOOP_SELF_DRIVING_TEMPLATE_IMPROVEMENT.md) | `ccl-prompt-feedback-loop-self-driving-template-improvement` | 2026-04-19 (1d) | depends_on: resources-tab-restructure-with-templates-section; coordinates_with: ccl-backend-chain-silent-autopilot-service, ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity, database-index-and-dual-db-audit | See brief §3 (Plan) |
| 🟡 | [CCL review experience — calm rail, override-rerun fix, docx fidelity](CCL_REVIEW_EXPERIENCE_CALM_RAIL_OVERRIDE_RERUN_FIX_DOCX_FIDELITY.md) | `ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity` | 2026-04-19 (1d) | coordinates_with: ccl-backend-chain-silent-autopilot-service, ccl-prompt-feedback-loop-self-driving-template-improvement, ui-responsiveness-hover-scroll-and-tab-navigation | See brief §3 (Plan) |
| 🟡 | [CCL review landing — terser intro, Start from scratch affordance, pipeline toasting](CCL_REVIEW_LANDING_TERSER_INTRO_START_FROM_SCRATCH_AFFORDANCE_PIPELINE_TOASTING.md) | `ccl-review-landing-terser-intro-start-from-scratch-affordance-pipeline-toasting` | 2026-04-19 (1d) | coordinates_with: ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity, ccl-backend-chain-silent-autopilot-service, ccl-prompt-feedback-loop-self-driving-template-improvement, demo-mode-hardening-production-presentable-end-to-end | See brief §3 (Plan) |
| 🟡 | [Clio token-refresh architecture audit](CLIO_TOKEN_REFRESH_ARCHITECTURE_AUDIT.md) | `clio-token-refresh-architecture-audit` | 2026-04-19 (1d) | coordinates_with: realtime-delta-merge-upgrade | See brief §3 (Plan) |
| 🟡 | [Clio token-refresh shared primitive](CLIO_TOKEN_REFRESH_SHARED_PRIMITIVE.md) | `clio-token-refresh-shared-primitive` | 2026-04-19 (1d) | depends_on: clio-token-refresh-architecture-audit | See brief §3 (Plan) |
| 🟡 | [Database index and dual-DB audit](DATABASE_INDEX_AND_DUAL_DB_AUDIT.md) | `database-index-and-dual-db-audit` | 2026-04-19 (1d) | coordinates_with: ui-responsiveness-hover-scroll-and-tab-navigation | See brief §3 (Plan) |
| 🟡 | [Demo mode hardening — production-presentable end-to-end](DEMO_MODE_HARDENING_PRODUCTION_PRESENTABLE_END_TO_END.md) | `demo-mode-hardening-production-presentable-end-to-end` | 2026-04-19 (1d) | coordinates_with: ccl-backend-chain-silent-autopilot-service, ccl-review-experience-calm-rail-override-rerun-fix-docx-fidelity | See brief §3 (Plan) |
| 🟡 | [Enquiries live-feed freshness wiring](ENQUIRIES_LIVE_FEED_FRESHNESS_WIRING.md) | `enquiries-live-feed-freshness-wiring` | 2026-04-19 (1d) | — | See brief §3 (Plan) |
| 🟡 | [Home animation order and demo-insert fidelity](HOME_ANIMATION_ORDER_AND_DEMO_INSERT_FIDELITY.md) | `home-animation-order-and-demo-insert-fidelity` | 2026-04-19 (1d) | coordinates_with: userbubble-and-private-hub-tools-control-consolidation-and-sort, demo-mode-hardening-production-presentable-end-to-end, ccl-backend-chain-silent-autopilot-service, enquiries-live-feed-freshness-wiring, realtime-delta-merge-upgrade, ui-responsiveness-hover-scroll-and-tab-navigation, ux-realtime-navigation-programme, home-skeletons-aligned-cascade | See brief §3 (Plan) |
| 🟡 | [Realtime delta-merge upgrade](REALTIME_DELTA_MERGE_UPGRADE.md) | `realtime-delta-merge-upgrade` | 2026-04-19 (1d) | coordinates_with: realtime-multi-replica-safety | See brief §3 (Plan) |
| 🟡 | [Realtime multi-replica safety](REALTIME_MULTI_REPLICA_SAFETY.md) | `realtime-multi-replica-safety` | 2026-04-19 (1d) | coordinates_with: realtime-delta-merge-upgrade | See brief §3 (Plan) |
| 🟡 | [Resources tab restructure with Templates section](RESOURCES_TAB_RESTRUCTURE_WITH_TEMPLATES_SECTION.md) | `resources-tab-restructure-with-templates-section` | 2026-04-19 (1d) | coordinates_with: ccl-prompt-feedback-loop-self-driving-template-improvement, ccl-backend-chain-silent-autopilot-service | See brief §3 (Plan) |
| 🟡 | [Session probing — Activity tab visibility and persistence](SESSION_PROBING_ACTIVITY_TAB_VISIBILITY_AND_PERSISTENCE.md) | `session-probing-activity-tab-visibility-and-persistence` | 2026-04-19 (1d) | coordinates_with: ui-responsiveness-hover-scroll-and-tab-navigation, realtime-multi-replica-safety, ux-realtime-navigation-programme | See brief §3 (Plan) |
| 🟡 | [UI responsiveness — hover scroll and tab navigation](UI_RESPONSIVENESS_HOVER_SCROLL_AND_TAB_NAVIGATION.md) | `ui-responsiveness-hover-scroll-and-tab-navigation` | 2026-04-19 (1d) | coordinates_with: session-probing-activity-tab-visibility-and-persistence, realtime-delta-merge-upgrade, ux-realtime-navigation-programme | See brief §3 (Plan) |
| 🟡 | [UserBubble and Private Hub Tools — control consolidation and sort](USERBUBBLE_AND_PRIVATE_HUB_TOOLS_CONTROL_CONSOLIDATION_AND_SORT.md) | `userbubble-and-private-hub-tools-control-consolidation-and-sort` | 2026-04-19 (1d) | coordinates_with: home-animation-order-and-demo-insert-fidelity, ccl-backend-chain-silent-autopilot-service, demo-mode-hardening-production-presentable-end-to-end, ui-responsiveness-hover-scroll-and-tab-navigation, ux-realtime-navigation-programme | See brief §3 (Plan) |
| 🟡 | [UX Realtime Navigation Programme](UX_REALTIME_NAVIGATION_PROGRAMME.md) | `ux-realtime-navigation-programme` | 2026-04-19 (1d) | coordinates_with: enquiries-live-feed-freshness-wiring, forms-stream-persistence | See brief §3 (Plan) |
| 🟡 | [Forms entry stream — denser rows, inline tray, persistent payloads, retrigger](FORMS_STREAM_PERSISTENCE_PLAN.md) | `forms-stream-persistence` | 2026-04-18 (2d) | coordinates_with: dev-preview-and-view-as | See brief §3 (Plan) |

